id,x,y,elev
0,35.94018,0.015008,1590
1,35.974052,1.094109,1108
2,35.951942,1.395677,1334
3,35.727542,0.142481,2277
4,35.781955,0.439435,2121
5,35.891187,0.545297,1264
6,36.058679,0.747622,1053
7,35.973551,0.724285,977
8,36.246149,0.863748,1168
9,36.033326,0.50658,988
10,35.785901,0.713822,1737
11,35.816927,1.216841,1035
12,35.992768,0.995168,887
13,36.060847,0.917695,879
14,35.858593,0.274384,1460
15,36.00305,0.450919,1003
16,36.209588,0.34239,1999
17,35.845061,1.406197,1150
18,35.974994,0.183712,1334
19,36.020515,0.943149,842
20,35.327468,-0.589772,1982
21,35.554052,-0.535151,2387
22,35.234072,-0.962003,1789
23,35.356896,-0.728527,2062
24,35.287285,-0.841406,1880
25,35.483871,-0.772631,2215
26,35.372001,-0.777784,2050
27,35.278475,-0.417651,1977
28,35.343606,-0.583654,2029
29,35.297509,-0.719609,1950
30,35.255443,-1.004257,1717
31,35.20641,-0.686868,1897
32,35.272385,-0.446289,1941
33,35.429397,-0.549857,2267
34,35.259179,-0.961746,1761
35,35.510197,-0.543705,2336
36,35.0809,-0.832024,1893
37,35.077398,-0.73755,1809
38,35.480491,-0.58475,2284
39,35.112402,-0.730688,1773
40,34.712369,0.643222,1457
41,34.588023,0.949904,2713
42,34.825174,0.747047,1620
43,34.426162,0.6099,1313
44,35.033918,0.723207,1777
45,34.525325,0.47601,1397
46,35.129754,0.681416,1944
47,34.525875,0.600347,1470
48,34.70096,0.985913,2646
49,34.462744,0.896072,2339
50,34.577719,0.844855,2111
51,35.083187,0.693999,1896
52,34.623498,0.945064,2691
53,34.790658,0.611157,1583
54,35.03349,0.782803,1795
55,34.886794,0.769752,1743
56,34.475929,0.7067,1405
57,34.455743,0.673606,1364
58,34.594589,0.75552,1636
59,34.554975,0.972305,2985
60,34.385078,0.516891,1240
61,33.943028,0.060663,1136
62,34.168749,0.566405,1137
63,34.287572,0.325202,1263
64,34.12771,0.424764,1186
65,34.215527,0.350568,1234
66,34.369197,0.481576,1262
67,34.384715,0.358762,1296
68,34.150308,0.30776,1366
69,34.314629,0.538882,1232
70,34.227443,0.304782,1283
71,34.069422,0.250405,1218
72,34.337767,0.474845,1226
73,34.106414,0.219225,1228
74,33.988829,0.104502,1169
75,34.324214,0.36409,1245
76,34.045462,0.108833,1145
77,34.154068,0.323812,1265
78,34.244496,0.506802,1235
79,34.023878,0.088186,1144
80,35.670887,1.213197,986
81,35.594618,1.213813,2462
82,35.52385,0.664453,2131
83,35.695981,1.213084,942
84,35.543032,1.215671,2703
85,35.677731,1.269705,955
86,35.634364,0.23301,1724
87,35.653658,1.291935,992
88,35.581592,1.2008,2564
89,35.591436,0.275713,2216
90,35.559948,0.298509,2683
91,35.547876,0.952258,2394
92,35.584988,1.208139,2538
93,35.349844,0.998206,2221
94,35.69479,1.299489,923
95,35.575462,0.837948,1678
96,35.611672,0.985155,1140
97,35.533073,0.594565,1864
98,35.530176,0.995776,2438
99,35.332785,1.10338,2470
100,37.482013,-0.771568,1106
101,37.567652,-0.836265,1054
102,37.367285,-0.792352,1130
103,37.598267,-0.482304,1296
104,37.879059,-0.529498,613
105,37.592743,-0.576568,1190
106,37.331716,-0.772187,1149
107,37.462505,-0.530311,1361
108,37.630843,-0.409185,1408
109,37.588514,-0.493408,1346
110,37.605957,-0.697393,1264
111,37.794313,-0.58265,751
112,37.426118,-0.297635,2304
113,37.748588,-0.603555,1047
114,37.8813,-0.63254,734
115,37.425424,-0.779839,1141
116,37.731835,-0.659605,982
117,37.524982,-0.512484,1419
118,37.339644,-0.202828,3846
119,37.441012,-0.341568,2097
120,40.45783,-0.961007,102
121,38.959155,0.041954,261
122,41.080627,-1.404845,50
123,39.328595,0.414875,244
124,40.320506,-0.6606,121
125,39.343108,0.295183,260
126,40.12301,-1.556957,76
127,41.2353,-1.157512,48
128,40.754146,-0.233997,117
129,40.467395,-1.412311,70
130,39.700599,-0.189858,236
131,40.550496,-0.88502,111
132,40.845953,-1.026737,93
133,40.153004,-1.071877,101
134,40.04888,0.03641,173
135,40.681341,-1.362074,72
136,40.7031,0.000876,129
137,40.915644,-1.251496,69
138,39.809333,0.269626,160
139,40.13454,0.282758,136
140,34.188225,-0.697872,1255
141,34.825301,-0.507314,1593
142,33.947671,-0.458201,1137
143,34.183653,-0.389693,1150
144,34.186722,-0.523625,1256
145,34.615051,-0.504131,1253
146,34.429382,-0.529934,1137
147,34.569601,-0.404535,1188
148,34.386773,-0.672449,1357
149,33.976013,-0.456346,1217
150,34.336437,-0.494889,1146
151,34.654845,-0.582357,1415
152,34.388092,-0.420743,1138
153,33.98886,-0.571407,1135
154,33.944089,-0.543891,1136
155,34.24263,-0.485858,1338
156,33.989306,-0.687244,1136
157,34.221143,-0.455935,1176
158,34.680115,-0.289303,1137
159,34.169474,-0.713508,1269
160,38.324783,1.017968,471
161,39.007087,1.542948,256
162,38.221046,1.150551,470
163,38.290776,0.663837,605
164,39.253605,1.042632,215
165,38.425393,0.39406,583
166,38.378669,1.420262,328
167,38.757331,1.292951,274
168,38.068692,1.262913,580
169,38.615997,1.136869,310
170,38.850772,1.881816,326
171,39.058736,0.988726,240
172,38.684134,0.378836,487
173,38.883225,1.586892,336
174,39.044296,1.62271,295
175,38.83288,0.872594,326
176,38.928972,2.035089,343
177,37.765885,0.59608,898
178,38.503456,0.556393,524
179,38.697483,1.866692,323
180,36.794805,-1.887144,1633
181,37.553668,-2.647004,1178
182,37.086255,-1.878663,1554
183,36.102412,-2.088847,609
184,36.696216,-2.003939,1650
185,36.94375,-2.044675,1703
186,37.820821,-2.912973,971
187,37.111364,-1.804159,1604
188,37.842282,-2.921782,879
189,36.40436,-1.414128,1324
190,36.518816,-1.446537,1648
191,37.485954,-2.780249,1296
192,36.613189,-1.61282,1445
193,37.29768,-2.554109,1152
194,37.2096,-2.164155,1310
195,36.029637,-2.024984,717
196,36.784818,-1.588282,1715
197,36.424831,-2.056921,1058
198,36.251843,-1.582144,1042
199,36.666615,-2.212237,1622
200,34.709161,0.290191,1477
201,34.729335,0.358494,1510
202,34.453549,0.231511,1351
203,34.401781,0.317851,1264
204,34.724567,0.25211,1455
205,34.732442,0.394163,1482
206,34.745982,0.504097,1466
207,34.395137,0.319152,1281
208,34.577718,0.178836,1431
209,34.824253,0.385155,1604
210,34.636024,0.42613,1433
211,34.448183,0.236319,1307
212,34.89498,0.500276,1658
213,34.82061,0.303847,1555
214,34.457418,0.32826,1288
215,34.79699,0.246749,1543
216,34.438833,0.423017,1311
217,34.853513,0.317563,1581
218,34.748417,0.240879,1517
219,34.58519,0.337517,1384
220,35.2775,-0.307038,1983
221,35.477478,-0.011217,2595
222,35.528332,-0.161414,2217
223,35.364441,-0.310541,2116
224,35.544668,-0.156188,2279
225,35.083539,-0.409798,1773
226,35.155679,-0.451645,1756
227,35.183692,-0.36593,1939
228,35.423419,-0.239072,1953
229,35.481757,-0.145267,2231
230,35.373059,-0.288295,1973
231,35.425033,-0.187514,1966
232,35.603594,-0.219098,2310
233,35.44183,-0.281799,2244
234,35.067054,-0.246782,1324
235,35.57306,-0.087619,2349
236,35.163538,-0.444412,1757
237,35.555227,-0.233271,2174
238,35.613369,-0.259852,2588
239,35.612937,-0.235184,2352
240,37.184807,-1.093739,1453
241,36.819995,-0.978137,1877
242,36.816026,-1.054154,1798
243,37.102273,-1.193649,1456
244,36.951684,-1.147818,1530
245,36.786528,-1.014934,1927
